j2p_over_j1,sector_index,n,m,source_qa,source_qb,sector_dimension,sector_energy_total,delta_energy_to_gs
0.9,11,2,1,1,5,225264,-10.764436721027447,0.1381065290558574
1.0,0,0,0,0,0,225592,-11.230821179629613,0.0
1.0,1,1,5,0,1,225264,-11.094994275466687,0.13582690416292564
1.0,2,2,4,0,2,225570,-11.059830332346332,0.1709908472832815
1.0,3,3,3,0,3,225280,-11.134880309609592,0.09594087002002105
1.0,4,4,2,0,4,225570,-11.059830332346781,0.1709908472828321
1.0,5,5,1,0,5,225264,-11.094994275467812,0.1358269041618012
1.0,6,3,0,1,0,225280,-11.134880309607215,0.09594087002239782
1.0,7,4,5,1,1,225264,-11.09499427546673,0.135826904162883
1.0,8,5,4,1,2,225264,-11.094994275467496,0.1358269041621174
1.0,9,0,3,1,3,225280,-11.134880309609384,0.09594087002022889
1.0,10,1,2,1,4,225264,-11.094994275466696,0.13582690416291676
1.0,11,2,1,1,5,225264,-11.094994275467927,0.13582690416168575
